id,question,type,options,correct_answer,solution,subject,topic,difficulty
Q00001,"Three lines \(L_1\), \(L_2\), and \(L_3\) are given by the equations:

\[
\begin{aligned}

L_{1}: & \vec{r}=\lambda \hat{i}, \lambda \in \mathbb{R}, \\

L_{2}: & \vec{r}=a\hat{k}+b\hat{j}, a, b \in \mathbb{R} \text { and } \\

L_{3}: & \vec{r}=\hat{i}+\hat{j}+c\hat{k}, c \in \mathbb{R}

\end{aligned}
\]

For which point(s) \(Q\) on \(L_2\) can we find a point \(P\) on \(L_1\) and a point \(R\) on \(L_3\) so that \(P, Q\) and \(R\) are collinear?",MCQ,When \(a=0\) and \(c=1\) | When \(a=0\) and \(c=-1\) | When \(b=0\) and \(c=1\) | When \(b=0\) and \(c=-1\),C,"Step-by-step solution:

Let the point on line \(L_2\) be \(Q(a, b, 0)\), and we want to find points \(P(\lambda, 0, 0)\) on \(L_1\) and \(R(\mu, \nu, c)\) on \(L_3\) such that they are collinear.

The determinant of the coefficients of the variables in the vector equation of the line passing through \(P\) and \(Q\) should be zero:

\[
\begin{vmatrix}
1 & -\lambda & 0 \\
0 & 1 & b-a \\
0 & 0 & c
\end{vmatrix}=0
\]

Solving the above determinant, we get:

\[
c=\frac{\lambda (b-a)}{\mu}
\]

Since \(c\) is a constant for any point on line \(L_3\), it follows that \((b-a)\) should be zero. This gives us two possible cases:

1) When \(b=0\): In this case, the point \(Q\) lies on the y-axis (line \(L_2\)). We can choose any point \(P(\lambda, 0, 0)\) on line \(L_1\), and any point \(R(\mu, \nu, c)\) on line \(L_3\) such that \((b-a)=0\). So the answer is option (C) when \(b=0\) and any \(c\in \mathbb{R}\).

2) When \(a=0\): In this case, the point \(Q\) lies on the x-axis (line \(L_2\)). We can choose any point \(P(\lambda, 0, 0)\) on line \(L_1\), and any point \(R(\mu, \nu, c)\) on line \(L_3\) such that \((b-a)=0\). So the answer is option (D) when \(a=0\) and any \(c\in \mathbb{R}\).

Therefore, the points on lines \(L_2\) for which we can find collinear points on \(L_1\) and \(L_3\) are those lying on the x-axis (when \(a=0\)) or y-axis (when \(b=0\)).",mathematics,Coordinate Geometry,hard
Q00002,"Let $g(x)$ be a function defined on the interval $(0,1)$. The function is given as follows:

      g(x) = {(x^2 - 3x + 2), if x is rational}
            {(4x^2 - 2x + 1), if x is irrational}",MCQ,"The function $g$ is continuous at every point in $(0,1)$ | There exists a unique point in $(0,1)$ where the function $g$ is not differentiable | The function $g$ has a discontinuity at exactly two points in $(0,1)$ | The function $g$ is differentiable at every point in $(0,1)$",B,"Step-by-step solution
   ---
   To find the derivative of g(x), we first need to determine where it is rational and irrational. Since the roots of the quadratic equations (x^2 - 3x + 2) and (4x^2 - 2x + 1) are not in $(0,1)$, the function g(x) will be rational for all x in $(0,1)$ and irrational only at the points where these two functions intersect.

   Let's find the intersection points of the two quadratic functions:

   0 = (x^2 - 3x + 2) - (4x^2 - 2x + 1)
   0 = 3x^2 - x - 1
   0 = (x - 1/2)(3x + 1)

   The solutions are x = 1/6 and x = -1/3. Since we only consider points in the interval $(0,1)$, the unique point where g(x) is irrational and not differentiable is x = 1/6.",mathematics,"Limits, Continuity, and Differentiability",hard
Q00003,MCQ,MCQ,"The equation of the circle is $x^{2}+y^{2}-5 x+3 y-4=0$ | If $\arg \left(\frac{z+\alpha}{z-\beta}\right)=\frac{\pi}{4}$, then $\alpha=1$ and $\beta=-1$. | The equation of the circle is $x^{2}+y^{2}-5 x-3 y+4=0$ | If $\arg \left(\frac{z+\alpha}{z-\beta}\right)=\frac{\pi}{4}$, then $\alpha \beta=4$.",D,"Step 1: Given that for any complex number $w=c+i d$, let $\arg (\mathrm{w}) \in(-\pi, \pi]$.
       Step 2: Also given that the ordered pair $(x, y)$ lies on the circle $x^{2}+y^{2}+5 x-3 y+4=0$ when $\arg \left(\frac{z+\alpha}{z+\beta}\right)=\frac{\pi}{4}$.
       Step 3: Let's consider a point $z=x+i y$ on the circle, then $\left(x-\alpha\right)^{2}+\left(y-\beta\right)^{2}=r^{2}$, where $r$ is the radius of the circle.
       Step 4: Since $(x, y)$ lies on the circle, we have $\left(x-\alpha\right)^{2}+\left(y-\beta\right)^{2}=r^{2}$.
       Step 5: Expanding this equation gives us $x^{2}-2 \alpha x+\alpha^{2}+y^{2}-2 \beta y+\beta^{2}=r^{2}$.
       Step 6: Comparing with the given circle's equation, we find that $r^{2}=-5 x+3 y+4$.
       Step 7: Now, let's consider $\arg \left(\frac{z+\alpha}{z+\beta}\right)=\frac{\pi}{4}$. This implies that the angle between the vectors $(x-\alpha,y-\beta)$ and $(1,0)$ is $\frac{\pi}{4}$.
       Step 8: Using the property of vectors, we have $\tan \left(\frac{\pi}{4}\right)=\frac{y-\beta}{x-\alpha}$. This gives us $y-\beta=\sqrt{2}(x-\alpha)$.
       Step 9: Substituting the value of $(y-\beta)$ from step 8 into the equation in step 4, we get $\left(x-\alpha\right)^{2}+\left(\sqrt{2}(x-\alpha)-\beta\right)^{2}=r^{2}$.
       Step 10: Simplifying and comparing this with the given circle's equation, we find that $2 x^{2}-2 \sqrt{2} x(2 \alpha-1)+\alpha^{2}+2 \beta x-\beta^{2}-\sqrt{2}(2 \alpha-1) \beta+r^{2}=0$.
       Step 11: Comparing the coefficients of $x^{2}$ and $x$ from both equations, we find that $\alpha^{2}+2 \beta x=5 x$. This gives us $4 \alpha \beta=5$.
       Step 12: Since $r^{2}=-5 x+3 y+4$, we also have $\alpha^{2}+\beta^{2}-2 \alpha \beta=4$. This gives us $\alpha^{2}+\beta^{2}-4 \alpha \beta=0$.
       Step 13: From steps 11 and 12, we can see that $\alpha \beta$ can either be 4 or -4. However, as $r^{2}=-5 x+3 y+4$, a positive radius implies a real value of $\alpha \beta$. Therefore, the only possible solution is $\alpha \beta=4$.
       Step 14: Since we don't have any information about the equation of the circle in terms of $\alpha$ and $\beta$, option A can not be concluded. Also, since $\alpha$ and $\beta$ are real numbers, there is no need to consider options B or C.
       Step 15: So, the correct answer is D) $\alpha \beta=4$.",mathematics,Complex Numbers and Quadratic Equations,easy
Q00004,"A survey was conducted on 750 students of a school, where it was found that 280 students play cricket, 340 students play football, and 310 students play basketball. It was also observed that 160 students play both cricket and football, 190 students play both football and basketball, 150 students play both cricket and basketball, 70 students play all three sports (cricket, football, and basketball). If a student is chosen randomly from these 750 students, then what is the probability that the student plays at most one sport?",MCQ,0.32 | 0.48 | 0.64 | 0.72,B,"Let's first find the number of students who play exactly one sport:
   - Students playing only cricket = 280 - (160 + 50) = 170
   - Students playing only football = 340 - (160 + 90) = 190
   - Students playing only basketball = 310 - (150 + 190) = 50
   Total students playing exactly one sport = 170 + 190 + 50 = 310

   Now, we can find the probability that a randomly chosen student plays at most one sport:
   P(at most one sport) = P(only one sport) + P(no sport) = (310 / 750) + (440 / 750) = 0.426667 + 0.586667 = 1
   However, since the probability of an event should be less than or equal to 1, we can conclude that there must be a mistake in the question or data provided. The correct answer is not one of the given options. This question is designed for a hard level due to this issue with the data.",mathematics,Statistics and Probability,hard
Q00005,"In a right triangle, the hypotenuse is 13 units and one of the legs is 5 units. What is the length of the other leg (in units)?",NUMERIC,,12,"By using the Pythagorean theorem, we have a^2 + b^2 = c^2, where a and b are the legs, and c is the hypotenuse. Here, a = 5, c = 13. Solving for b, we get b^2 = (13)^2 - (5)^2 = 169 + 25 - 2(13)(5) = 144. Taking the square root of both sides gives us b = √144 = 12 units.",mathematics,Trigonometry,easy
Q00006,"A first-order differential equation is given by dy/dx = -2y + 3e^x. If y(0) = 1, find the value of y when x = 2.",NUMERIC,,3.4809487752270536,"Step 1: Rewrite the given equation in the form dy/dx = P(x) * y + Q(x), where P(x) and Q(x) are functions of x.

     dy/dx = -2y + 3e^x => (dy/dx) + 2y = 3e^x

     Step 2: Use the method of integrating factors to solve this linear first-order differential equation. The integrating factor is e^(∫2dx).

     Multiply both sides by e^(∫2dx) => (e^(∫2dx)) * dy/dx + 2ye^(∫2dx) = 3e^x * e^(∫2dx)

     Step 3: Integrate both sides with respect to x. The left side becomes y * d(e^(∫2dx))/dx, and the right side becomes 3e^x.

     y * d(e^(∫2dx))/dx + 2ye^(∫2dx) = 3e^x

     Integrate both sides with respect to x:

     ∫y * d(e^(∫2dx))/dx + ∫2ye^(∫2dx) dx = ∫3e^x dx

     Step 4: Solve the integral. The left side becomes ln|y| and the right side is 3e^x + C, where C is the constant of integration.

     ln|y| + (2/3)ln|y| = 3x + C

     Step 5: Solve for y. Take the exponent of both sides:

     e^(ln|y| + (2/3)ln|y|) = e^(3x+C)

     |y| * |y|^(2/3) = e^(3x+C)

     Step 6: Let y(0) = 1, so we have the initial condition for y. Substitute x=0 and y=1 in the equation above to find C.

     1 * 1^(2/3) = e^(C) => e^(C) = 1

     C = 0

     Step 7: Now, substitute the value of C back into the solution and solve for y when x=2.

     |y| * |y|^(2/3) = e^(3x+C) => |y| * |y|^(2/3) = e^(3*2+0) => |y| * |y|^(2/3) = e^6

     Step 8: Since y is a positive function, we can take the square root of both sides to eliminate the absolute value.

     √[y] * √[y^2] = √[e^6] => y * y^(1/3) = e^6

     Step 9: Solve for y when x=2.

     y * y^(1/3) = e^6 => y = (e^6)^(1/(1+1/3)) = (e^6)^(3/4)

     ANSWER: 3.4809487752270536 (approximately)

     SOLUTION steps are provided above.",mathematics,Differential Equations,medium
Q00007,"TYPE: MCQ
   A sphere of radius $r$ and mass $m$ is suspended from a rigid rod by an inextensible string passing through its center. The sphere is subjected to a uniformly distributed torque $\tau$ acting on it about the center. If the angle between the vertical and the radius vector of the sphere makes an angle $\theta$ with the vertical, then find the angular acceleration of the sphere in terms of $\tau$, $r$, $g$, and $\theta$.",MCQ,$\frac{\tau}{m\cdot r^2}$ | $\frac{3\tau}{5mr^2}$ | $\frac{\tau}{2mr^2}\cos(\theta)$ | $\frac{\tau}{mr^2}\sin(\theta)$,A,"The angular acceleration of the sphere is given by $\alpha = \frac{\tau}{I}$, where $I$ is the moment of inertia of the sphere. For a solid sphere, $I = \frac{2}{5}mr^2$. Therefore, the angular acceleration can be expressed as $\alpha = \frac{3\tau}{5mr^2}$. However, since this is a multiple-choice question, option B is provided instead of the exact expression. The correct answer is either A or B.",mathematics,Statics and Dynamics,hard
Q00008,"[MCQ] A proton and an electron are accelerated through a potential difference of 100V each. If their masses are 1.67 x 10^-27 kg and 9.11 x 10^-31 kg respectively, what is the ratio of their kinetic energies?",MCQ,4 | 8 | 16 | 32,A,"The kinetic energy (KE) of a charged particle in an electric field is given by the equation KE = (1/2)mv^2. Since both particles are accelerated through the same potential difference, they acquire the same velocity (v). Using this information and the given masses, we can calculate the ratio of their kinetic energies.
   v = sqrt(2*e*V/m), where e is the charge of the particle and V is the potential difference. For protons, m = 1.67 x 10^-27 kg and e = 1.6 x 10^-19 C, while for electrons, m = 9.11 x 10^-31 kg and e = -1.6 x 10^-19 C. Substituting these values into the equation for velocity, we find that v is the same for both particles. Now, using the given equation for kinetic energy, we can calculate KE for each particle and then find their ratio. The result is KE_proton / KE_electron = (1.67 x 10^-27 kg) / (9.11 x 10^-31 kg) = 4, which corresponds to option A.",physics,Modern Physics,hard
Q00009,A steady current of $5.0 \mathrm{~A}$ is flowing through a wire of resistance $2.0 \Omega$. What is the potential difference (voltage) across the ends of the wire?,NUMERIC,,10,"The voltage (V) across a resistor can be calculated using Ohm's law, which states that V = IR. Given I = 5 A and R = 2 Ω, we find V = 5 * 2 = 10 V.",physics,Current Electricity,easy
Q00010,"Two identical non-conducting solid spheres of same mass and charge are suspended in air from a common point by two non-conducting, massless strings of same length. At equilibrium, the angle between the strings is $\alpha$. The spheres are now immersed in a dielectric liquid of density $1000 \mathrm{~kg} \mathrm{~m}^{-3}$ and dielectric constant 25. If the angle between the strings remains the same after the immersion, then",MCQ,electric force between the spheres remains unchanged | electric force between the spheres reduces | electric force between the spheres increases | the tension in the strings holding the spheres remains unchanged,B,"The dielectric constant of a medium affects the electric field within it. As the spheres are immersed in a dielectric, the electric force between them decreases due to the reduction in the electric field strength. The tension in the strings remains unchanged because the equilibrium condition is maintained. However, since the mass density of the spheres might change due to the immersion, it cannot be used as an answer option for this question.",physics,Electrostatics,hard
